Title,Date,Content
Reliance Power share price update : Shareholding information,09 May 2024,Reliance Power has a 2.67% MF holding & 7.89% FII holding as per filings in the march quarter.The FII holding has decreased from 8.04% in december to 7.89% in march quarter.
Reliance Power share price update : Shareholding information,09 May 2024,Reliance Power's Return on Equity (ROE) in the most recent fiscal year was -3.57% and the Return on Investment (ROI) value was -1.22%. The consensus estimates for ROE in the current and upcoming fiscal year are 0.00% each.
Reliance Power share price update : Shareholding information,09 May 2024,"Reliance Power has experienced a significant decline in EPS of -99999.99% and a slight decrease in revenue of -0.09% over the past 3 years. In the last twelve months, the company generated a revenue of 76505.00 cr, showing a 1.43% increase compared to the previous fiscal year. The company is expected to see a growth of �% in revenue and �% in profit for the upcoming quarter."
Reliance Power share price update : Shareholding information,09 May 2024,"Today, Reliance Power's stock price dropped by 3.84% to reach₹24.77, in line with the downward trend seen in its peer companies like Jaiprakash Power Ventures, KPI Green Energy, Rattanindia Enterprises, and Nava. The broader market also witnessed declines, with benchmark indices Nifty and Sensex falling by 1.55% and 1.45%, respectively."
Reliance Power share price update : Shareholding information,09 May 2024,Reliance Power stock reached a low of₹24.55 and a high of₹25.99 on the current day.
Reliance Power share price update : Shareholding information,09 May 2024,"Reliance Powershare price closed the day at₹24.77 - a 3.84% lower than the previous closing price. For the next trading session key resistances to watch for are 25.6 , 26.35 , 26.75. On the other hand key support levels could be found at 24.45 , 24.05 , 23.3.Please note these support and resistance levels are derived from the classic pivot table."
Reliance Power share price update : Shareholding information,09 May 2024,No Content Available
Reliance Power share price update : Shareholding information,09 May 2024,The current market price of Reliance Power has broken the first support of₹25.35 (derived from classic pivot table) on a daily time frame indicating a bearish move but traders need to monitor for possible reversals from₹24.9. If the stock price breaks the second support of₹24.9 then there can be further negative price movement.
Reliance Power share price update : Shareholding information,09 May 2024,No Content Available
Reliance Power share price update : Shareholding information,09 May 2024,"As per the Technical Analysis, short term trend of Reliance Power share is Bearish and long term trend is Moderately Bearish"
